violation_code,violation_code_description,serialid
E101,Electric elevator: Door Reopening Device,1
E102,Electric elevator: Stop Switches,2
E103,Electric elevator: Operating Control Devices,3
E104,Electric elevator: Sills and Car Floor,4
E105,Electric elevator: Car Lighting and Receptacles,5
E106,Electric elevator: Car Emergency Signals,6
E107,Electric elevator: Car Door or Gate,7
E108,Electric elevator: Door Closing Force,8
E109,Electric elevator: Power Closing of Doors or Gates,9
E110,Electric elevator: Power Opening of Doors or Gates,10
E111,Electric elevator: Car Vision Panels and Glass Car Doors,11
E112,Electric elevator: Car Enclosure,12
E113,Electric elevator: Emergency Exit,13
E114,Electric elevator: Ventilation,14
E115,Electric elevator: Signs and Operating Device Symbols,15
E116,"Electric elevator: Rated Load, Platform Area, and Data Plate",16
E117,Electric elevator: Standby Power Operation,17
E118,Electric elevator: Restricted Opening of Car or Hoistway Doors,18
E119,Electric elevator: Car Ride,19
E151,"Electric elevator: Car signals, switches, buttons (to include ADA)",20
E152,Electric elevator: Bulletin boards,21
E153,Electric elevator: Certificate of Operation (and frame),22
E154,Electric elevator: Emergency stop switch (prohibited after 1979) Keyed Run/Stop Switch required (A17.1d-1986)(A17.3-1996),23
E155,Electric elevator: Accessibility code (ADA; A117.1),24
E156,Electric elevator: Destination oriented operating devices,25
E201,Electric elevator: Access to Machines Spaces,26
E202,Electric elevator: Headroom,27
E203,Electric elevator: Lighting and Receptacles,28
E204,Electric elevator: Machine Spaces and Control Spaces,29
E205,Electric elevator: Housekeeping,30
E206,Electric elevator: Ventilation,31
E207,Electric elevator: Fire Extinguisher,32
E208,"Electric elevator: Pipes, Wiring & Ducts",33
E209,Electric elevator: Guarding of exposed auxiliary equipment,34
E210,"Electric elevator: Numbering of elevators, machines, controllers and disconnect switches",35
E211,Electric elevator: Disconnecting Means and Control,36
E212,"Electric elevator: Controller Wiring, Fuses, Grounding, Etc.",37
E213,"Electric elevator: Governor, Overspeed Switch, and Seal",38
E214,Electric elevator: Code Data Plate,39
E215,Electric elevator: Static Control,40
E216,Electric elevator: Overhead Beams and Fastenings,41
